MOD新聞,#genre#
TVBS歡樂台,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8
VOA美國之音,http://4gtv.mumi.rip:9877/86/litv-ftv03/index.m3u8
人間衛視,http://4gtv.mumi.rip:9877/210/4gtv-live008/index.m3u8
八大精彩台,http://4gtv.mumi.rip:9877/172/4gtv-4gtv034/index.m3u8
八大綜藝台,http://4gtv.mumi.rip:9877/114/4gtv-4gtv039/index.m3u8
三立新聞iNEWS,http://4gtv.mumi.rip:9877/229/4gtv-live089/index.m3u8
三立綜合台,http://4gtv.mumi.rip:9877/169/4gtv-live207/index.m3u8
大愛二台,http://4gtv.mumi.rip:9877/230/4gtv-live106/index.m3u8
大愛電視,http://4gtv.mumi.rip:9877/209/4gtv-live007/index.m3u8
中天新聞台,http://4gtv.mumi.rip:9877/30/4gtv-4gtv009/index.m3u8
中視,http://4gtv.mumi.rip:9877/4/4gtv-4gtv040/index.m3u8
中視菁采台,http://4gtv.mumi.rip:9877/123/4gtv-4gtv064/index.m3u8
中視新聞,http://4gtv.mumi.rip:9877/33/4gtv-4gtv074/index.m3u8
中視經典台,http://4gtv.mumi.rip:9877/124/4gtv-4gtv080/index.m3u8
公視戲劇,http://4gtv.mumi.rip:9877/7/4gtv-4gtv042/index.m3u8
半島國際新聞台,http://4gtv.mumi.rip:9877/85/litv-ftv10/index.m3u8
尼克兒童頻道,http://4gtv.mumi.rip:9877/185/4gtv-live105/index.m3u8
民視,http://4gtv.mumi.rip:9877/3/4gtv-4gtv002/index.m3u8
民視台灣台,http://4gtv.mumi.rip:9877/2/4gtv-4gtv001/index.m3u8
民視旅遊台,http://4gtv.mumi.rip:9877/61/litv-ftv07/index.m3u8
民視第一台,http://4gtv.mumi.rip:9877/1/4gtv-4gtv003/index.m3u8
民視新聞台,http://4gtv.mumi.rip:9877/31/litv-ftv13/index.m3u8
民視綜藝台,http://4gtv.mumi.rip:9877/16/4gtv-4gtv004/index.m3u8
民視影劇台,http://4gtv.mumi.rip:9877/24/litv-ftv09/index.m3u8
好消息,http://4gtv.mumi.rip:9877/9/litv-ftv16/index.m3u8
好消息2台,http://4gtv.mumi.rip:9877/8/litv-ftv17/index.m3u8
車迷TV,http://4gtv.mumi.rip:9877/160/4gtv-live201/index.m3u8
亞洲旅遊台,http://4gtv.mumi.rip:9877/250/litv-longturn17/index.m3u8
兒童卡通台,http://4gtv.mumi.rip:9877/269/4gtv-live009/index.m3u8
幸福空間居家台,http://4gtv.mumi.rip:9877/168/4gtv-live206/index.m3u8
東森財經新聞台,http://4gtv.mumi.rip:9877/293/4gtv-4gtv153/index.m3u8
東森新聞台,http://4gtv.mumi.rip:9877/292/4gtv-4gtv152/index.m3u8
東森購物一台,http://4gtv.mumi.rip:9877/173/4gtv-live047/index.m3u8
東森購物二台,http://4gtv.mumi.rip:9877/174/4gtv-live046/index.m3u8
東森購物三台,http://4gtv.mumi.rip:9877/287/4gtv-live048/index.m3u8
東森購物四台,http://4gtv.mumi.rip:9877/286/4gtv-live049/index.m3u8
芭樂直擊台,http://4gtv.mumi.rip:9877/290/4gtv-live302/index.m3u8
花系列 經典劇場,http://4gtv.mumi.rip:9877/279/4gtv-live016/index.m3u8
采昌影劇台,http://4gtv.mumi.rip:9877/25/4gtv-4gtv049/index.m3u8
金光布袋戲,http://4gtv.mumi.rip:9877/236/4gtv-live144/index.m3u8
客家電視台,http://4gtv.mumi.rip:9877/107/4gtv-4gtv043/index.m3u8
香蕉直擊台,http://4gtv.mumi.rip:9877/94/4gtv-4gtv038/index.m3u8
原住民族電視台,http://4gtv.mumi.rip:9877/273/4gtv-live014/index.m3u8
時尚運動X,http://4gtv.mumi.rip:9877/69/4gtv-4gtv014/index.m3u8
國會頻道1,http://4gtv.mumi.rip:9877/170/4gtv-4gtv084/index.m3u8
國會頻道2,http://4gtv.mumi.rip:9877/171/4gtv-4gtv085/index.m3u8
博斯高球二台,http://4gtv.mumi.rip:9877/298/litv-longturn06/index.m3u8
博斯高球台,http://4gtv.mumi.rip:9877/48/litv-longturn05/index.m3u8
博斯無限台,http://4gtv.mumi.rip:9877/51/litv-longturn10/index.m3u8
博斯運動一台,http://4gtv.mumi.rip:9877/50/litv-longturn07/index.m3u8
博斯運動二台,http://4gtv.mumi.rip:9877/299/litv-longturn08/index.m3u8
博斯網球台,http://4gtv.mumi.rip:9877/52/litv-longturn09/index.m3u8
博斯魅力台,http://4gtv.mumi.rip:9877/300/litv-longturn04/index.m3u8
智林體育台,http://4gtv.mumi.rip:9877/58/4gtv-4gtv101/index.m3u8
番茄直擊台,http://4gtv.mumi.rip:9877/289/4gtv-live301/index.m3u8
華視,http://4gtv.mumi.rip:9877/6/4gtv-4gtv041/index.m3u8
華視新聞,http://4gtv.mumi.rip:9877/34/4gtv-4gtv052/index.m3u8
視納華仁紀實頻道,http://4gtv.mumi.rip:9877/38/4gtv-4gtv013/index.m3u8
超人力霸王整套看,http://4gtv.mumi.rip:9877/278/4gtv-live015/index.m3u8
愛爾達生活旅遊台,http://4gtv.mumi.rip:9877/237/4gtv-live120/index.m3u8
愛爾達娛樂台,http://4gtv.mumi.rip:9877/19/4gtv-4gtv070/index.m3u8
新唐人亞太台,http://4gtv.mumi.rip:9877/223/4gtv-live050/index.m3u8
經典卡通台,http://4gtv.mumi.rip:9877/202/4gtv-live022/index.m3u8
經典電影台,http://4gtv.mumi.rip:9877/201/4gtv-live021/index.m3u8
達文西頻道,http://4gtv.mumi.rip:9877/11/4gtv-4gtv018/index.m3u8
電影免費看 2台,http://4gtv.mumi.rip:9877/245/4gtv-live005/index.m3u8
電影原聲台CMusic,http://4gtv.mumi.rip:9877/218/4gtv-live031/index.m3u8
靖天日本台,http://4gtv.mumi.rip:9877/22/4gtv-4gtv047/index.m3u8
靖天卡通台,http://4gtv.mumi.rip:9877/15/4gtv-4gtv044/index.m3u8
靖天育樂台,http://4gtv.mumi.rip:9877/83/4gtv-4gtv062/index.m3u8
靖天映畫,http://4gtv.mumi.rip:9877/42/4gtv-4gtv055/index.m3u8
靖天資訊台,http://4gtv.mumi.rip:9877/88/4gtv-4gtv065/index.m3u8
靖天電影台,http://4gtv.mumi.rip:9877/82/4gtv-4gtv061/index.m3u8
靖天綜合台,http://4gtv.mumi.rip:9877/21/4gtv-4gtv046/index.m3u8
靖天戲劇台,http://4gtv.mumi.rip:9877/116/4gtv-4gtv058/index.m3u8
靖洋卡通Nice Bingo,http://4gtv.mumi.rip:9877/59/4gtv-4gtv057/index.m3u8
靖洋戲劇台,http://4gtv.mumi.rip:9877/118/4gtv-4gtv045/index.m3u8
滾動力rollor,http://4gtv.mumi.rip:9877/249/4gtv-live012/index.m3u8
精選動漫台,http://4gtv.mumi.rip:9877/204/4gtv-live024/index.m3u8
鳳梨直擊台,http://4gtv.mumi.rip:9877/93/4gtv-4gtv035/index.m3u8
影迷數位紀實台,http://4gtv.mumi.rip:9877/212/4gtv-live023/index.m3u8
影迷數位電影台,http://4gtv.mumi.rip:9877/40/4gtv-4gtv011/index.m3u8
豬哥亮歌廳秀,http://4gtv.mumi.rip:9877/113/4gtv-4gtv006/index.m3u8
寰宇財經台,http://4gtv.mumi.rip:9877/281/litv-longturn23/index.m3u8
寰宇新聞台,http://4gtv.mumi.rip:9877/36/litv-longturn14/index.m3u8
寰宇新聞台灣台,http://4gtv.mumi.rip:9877/280/litv-longturn15/index.m3u8
龍華日韓台,http://4gtv.mumi.rip:9877/28/litv-longturn11/index.m3u8
龍華卡通台,http://4gtv.mumi.rip:9877/295/litv-longturn01/index.m3u8
龍華偶像台,http://4gtv.mumi.rip:9877/296/litv-longturn12/index.m3u8
龍華電影台,http://4gtv.mumi.rip:9877/121/litv-longturn03/index.m3u8
龍華戲劇台,http://4gtv.mumi.rip:9877/23/litv-longturn18/index.m3u8
戲劇免費看 1台,http://4gtv.mumi.rip:9877/270/4gtv-live010/index.m3u8
戲劇免費看 2台,http://4gtv.mumi.rip:9877/244/4gtv-live006/index.m3u8
鏡電視新聞台,http://4gtv.mumi.rip:9877/268/4gtv-4gtv075/index.m3u8
霹靂布袋戲,http://4gtv.mumi.rip:9877/301/4gtv-live145/index.m3u8
       
烏龍派出所特別篇,#genre#

烏龍派出所特別篇504,https://www.youtube.com/watch?v=jTuLAHzs75Y				
烏龍派出所特別篇510,https://www.youtube.com/watch?v=2lG3oAwkSvo				
烏龍派出所特別篇525,https://www.youtube.com/watch?v=SwVyBNR4PD4				
烏龍派出所特別篇535,https://www.youtube.com/watch?v=uCSFkkKKxTU				
烏龍派出所特別篇536,https://www.youtube.com/watch?v=6lW-AyPtWTU				
烏龍派出所特別篇538,https://www.youtube.com/watch?v=q0bG27NV_L0				
烏龍派出所特別篇540,https://www.youtube.com/watch?v=eADXHsqbCzo				
烏龍派出所特別篇546,https://www.youtube.com/watch?v=vx1NrQlkhzE				
烏龍派出所特別篇552,https://www.youtube.com/watch?v=rrA-X78WR1o				
烏龍派出所特別篇554,https://www.youtube.com/watch?v=lPW_admVYRA				
烏龍派出所特別篇556,https://www.youtube.com/watch?v=TsfbolyHzHo				
烏龍派出所特別篇557,https://www.youtube.com/watch?v=AxSxjiK-BbU				
烏龍派出所特別篇559,https://www.youtube.com/watch?v=7yD_fzunvqY				
烏龍派出所特別篇565,https://www.youtube.com/watch?v=-u9bL9HDj18				
烏龍派出所特別篇566,https://www.youtube.com/watch?v=KWkIbrPWIzw				
烏龍派出所特別篇569,https://www.youtube.com/watch?v=4Dhnnnelo5g				
烏龍派出所特別篇571,https://www.youtube.com/watch?v=FTwL0pPIWFQ				
烏龍派出所特別篇572,https://www.youtube.com/watch?v=Kw27F_Z5giA				
烏龍派出所特別篇576,https://www.youtube.com/watch?v=ldQEaonun_c				
烏龍派出所特別篇577,https://www.youtube.com/watch?v=Fuyuc1bHRIA				
烏龍派出所特別篇581,https://www.youtube.com/watch?v=uc1aLy3EZZk				
烏龍派出所特別篇583,https://www.youtube.com/watch?v=xunlY3Jbs3Q				
烏龍派出所特別篇584,https://www.youtube.com/watch?v=v7rE2iso7HU				
烏龍派出所特別篇585,https://www.youtube.com/watch?v=0CDQDKwiDiM				
烏龍派出所特別篇586,https://www.youtube.com/watch?v=jeXML2CgDgY				
烏龍派出所特別篇587,https://www.youtube.com/watch?v=_kVe4rG9-wE				
烏龍派出所特別篇591,https://www.youtube.com/watch?v=jP7VWky-2Ks				
烏龍派出所特別篇592,https://www.youtube.com/watch?v=gJ1shq6rNpc				
烏龍派出所特別篇593,https://www.youtube.com/watch?v=XXNxJVc1DhM				
烏龍派出所特別篇594,https://www.youtube.com/watch?v=unxWIzzWcsA				
烏龍派出所特別篇595,https://www.youtube.com/watch?v=2Rwn7BtJO8Q				
烏龍派出所特別篇596,https://www.youtube.com/watch?v=Hhnm75sqZ0w				
烏龍派出所特別篇597,https://www.youtube.com/watch?v=jK7_LdLNYwc				
烏龍派出所特別篇598,https://www.youtube.com/watch?v=wmafytO6fsI				
烏龍派出所特別篇599,https://www.youtube.com/watch?v=0euzKAgPRVg				
烏龍派出所特別篇600,https://www.youtube.com/watch?v=x_IvfGHPPHI				
烏龍派出所特別篇601,https://www.youtube.com/watch?v=9ZL9FCMcnc0				
烏龍派出所特別篇602,https://www.youtube.com/watch?v=idFe8NERh70				
烏龍派出所特別篇603,https://www.youtube.com/watch?v=StYzQMbTEo4				
烏龍派出所特別篇604,https://www.youtube.com/watch?v=IO7VX9J2vxA				
烏龍派出所特別篇605,https://www.youtube.com/watch?v=b9k_gP97ICE				
烏龍派出所特別篇606,https://www.youtube.com/watch?v=6REpOrFfWhM				
烏龍派出所特別篇607,https://www.youtube.com/watch?v=KAm2wF8JL_M				
烏龍派出所特別篇608,https://www.youtube.com/watch?v=JHznEQe0-yw				
烏龍派出所特別篇609,https://www.youtube.com/watch?v=3M2V9Tt6pg4				
烏龍派出所特別篇610,https://www.youtube.com/watch?v=dRuBCUGc3pQ				
烏龍派出所特別篇611,https://www.youtube.com/watch?v=leG75XcEWiw				
烏龍派出所特別篇612,https://www.youtube.com/watch?v=dm6g0-ips7k				
烏龍派出所特別篇613,https://www.youtube.com/watch?v=yLTf3PQPKAk				
烏龍派出所特別篇614,https://www.youtube.com/watch?v=QbQkIdQ7meA				
烏龍派出所特別篇615,https://www.youtube.com/watch?v=LuaYnHtY6hQ				
烏龍派出所特別篇616,https://www.youtube.com/watch?v=Vk3DZ2Azid4				
烏龍派出所特別篇617,https://www.youtube.com/watch?v=F3Z3T0mLACE				
烏龍派出所特別篇618,https://www.youtube.com/watch?v=OPIO5u1cqOM				
烏龍派出所特別篇619,https://www.youtube.com/watch?v=ohUp2au5mHk				
烏龍派出所特別篇620,https://www.youtube.com/watch?v=pXEhmf0PFNA				
烏龍派出所特別篇621,https://www.youtube.com/watch?v=vKT3j7QmzPA				
烏龍派出所特別篇622,https://www.youtube.com/watch?v=cOO5T5GFB_0				
烏龍派出所特別篇623,https://www.youtube.com/watch?v=zWJaAWUWrkM				
烏龍派出所特別篇624,https://www.youtube.com/watch?v=4b8jRyQO2e4				
烏龍派出所特別篇625,https://www.youtube.com/watch?v=siWsN8b7iww				
烏龍派出所特別篇626,https://www.youtube.com/watch?v=-rMHS_pEeT0				
烏龍派出所特別篇627,https://www.youtube.com/watch?v=M3fq02h3GoU				
烏龍派出所特別篇628,https://www.youtube.com/watch?v=KZF8Ml-8MWk				
烏龍派出所特別篇629,https://www.youtube.com/watch?v=CKNW8BfSbmg				
烏龍派出所特別篇630,https://www.youtube.com/watch?v=p-TW95seAX4				
烏龍派出所特別篇631,https://www.youtube.com/watch?v=76-1qqMU4MY				
烏龍派出所特別篇632,https://www.youtube.com/watch?v=8h8qSPXPHcA				
烏龍派出所特別篇633,https://www.youtube.com/watch?v=2ifjxm_V4sw				
烏龍派出所特別篇634,https://www.youtube.com/watch?v=_aghUWoIjN8				
烏龍派出所特別篇635,https://www.youtube.com/watch?v=raUD4-3EydU				
烏龍派出所特別篇636,https://www.youtube.com/watch?v=EWiRGV3lwxQ				
烏龍派出所特別篇637,https://www.youtube.com/watch?v=WW4prDFYeZM	
烏龍派出所特別篇638,https://www.youtube.com/watch?v=unk4v_EO8hk
烏龍派出所特別篇639,https://www.youtube.com/watch?v=rx7kXi2XQDM
烏龍派出所特別篇640,https://www.youtube.com/watch?v=W0CaFYXpUIk
烏龍派出所特別篇641,https://www.youtube.com/watch?v=-ryuYCJ4-dg
烏龍派出所特別篇642,https://www.youtube.com/watch?v=l9ThsYKHxGg
烏龍派出所特別篇643,https://www.youtube.com/watch?v=te4miXEDag8
烏龍派出所特別篇644,https://www.youtube.com/watch?v=1fn8_ubrHW4
烏龍派出所特別篇645,https://www.youtube.com/watch?v=Z37Hc0gm2BE
烏龍派出所特別篇646,https://www.youtube.com/watch?v=g9iYvQKHKnw
烏龍派出所特別篇647,https://www.youtube.com/watch?v=nIInXJJR4Qc
烏龍派出所特別篇648,https://www.youtube.com/watch?v=nOq_7BvK0JA
烏龍派出所特別篇649,https://www.youtube.com/watch?v=mPnSHAupVec
烏龍派出所特別篇650,https://www.youtube.com/watch?v=X2x3AruoXZQ
烏龍派出所特別篇651,https://www.youtube.com/watch?v=0DMlvUXVVAs
烏龍派出所特別篇652,https://www.youtube.com/watch?v=ita9I56kyYQ
烏龍派出所特別篇653,https://www.youtube.com/watch?v=oGlgWyfULFM
烏龍派出所特別篇654,https://www.youtube.com/watch?v=7afazjUwh0A
